Hisp.id,Hisp.display-label,Sex.id,Sex.display-label,Year.id,Year.display-label,GEO.id,GEO.id2,GEO.display-label,wac,bac,iac,aac,nac
Id,Hispanic Origin,Id,Sex,Id,Year,Id,Id2,Geography,Race Alone or in Combination [1] - White,Race Alone or in Combination [1] - Black or African American,Race Alone or in Combination [1] - American Indian and Alaska Native,Race Alone or in Combination [1] - Asian,Race Alone or in Combination [1] - Native Hawaiian and Other Pacific Islander
hisp,Hispanic,female,Female,cen42010,"April 1, 2010 Census",0100000US,,United States,22548274,1499758,1011686,442315,152667
hisp,Hispanic,female,Female,est42010,"April 1, 2010 Estimates Base",0100000US,,United States,22548284,1499758,1011686,442315,152667
hisp,Hispanic,female,Female,est72010,"July 1, 2010",0100000US,,United States,22664511,1510694,1017838,445579,153657
hisp,Hispanic,female,Female,est72011,"July 1, 2011",0100000US,,United States,23159198,1557780,1042178,458920,157842
hisp,Hispanic,female,Female,est72012,"July 1, 2012",0100000US,,United States,23655372,1604677,1066451,472299,162031
hisp,Hispanic,male,Male,cen42010,"April 1, 2010 Census",0100000US,,United States,23289620,1430605,1085172,439154,159473
hisp,Hispanic,male,Male,est42010,"April 1, 2010 Estimates Base",0100000US,,United States,23289766,1430614,1085172,439156,159473
hisp,Hispanic,male,Male,est72010,"July 1, 2010",0100000US,,United States,23414198,1442226,1091889,442590,160537
hisp,Hispanic,male,Male,est72011,"July 1, 2011",0100000US,,United States,23933409,1490089,1117279,456543,164946
hisp,Hispanic,male,Male,est72012,"July 1, 2012",0100000US,,United States,24463300,1538961,1143068,470536,169366
hisp,Hispanic,totsex,Both Sexes,cen42010,"April 1, 2010 Census",0100000US,,United States,45837894,2930363,2096858,881469,312140
hisp,Hispanic,totsex,Both Sexes,est42010,"April 1, 2010 Estimates Base",0100000US,,United States,45838050,2930372,2096858,881471,312140
hisp,Hispanic,totsex,Both Sexes,est72010,"July 1, 2010",0100000US,,United States,46078709,2952920,2109727,888169,314194
hisp,Hispanic,totsex,Both Sexes,est72011,"July 1, 2011",0100000US,,United States,47092607,3047869,2159457,915463,322788
hisp,Hispanic,totsex,Both Sexes,est72012,"July 1, 2012",0100000US,,United States,48118672,3143638,2209519,942835,331397
nhisp,Not Hispanic,female,Female,cen42010,"April 1, 2010 Census",0100000US,,United States,102803203,21080725,2072064,8766145,512076
nhisp,Not Hispanic,female,Female,est42010,"April 1, 2010 Estimates Base",0100000US,,United States,102803257,21080730,2072064,8766146,512076
nhisp,Not Hispanic,female,Female,est72010,"July 1, 2010",0100000US,,United States,102846389,21133902,2077739,8828018,514665
nhisp,Not Hispanic,female,Female,est72011,"July 1, 2011",0100000US,,United States,102960277,21357979,2099531,9085979,525031
nhisp,Not Hispanic,female,Female,est72012,"July 1, 2012",0100000US,,United States,103078413,21581242,2121130,9347523,535533
nhisp,Not Hispanic,male,Male,cen42010,"April 1, 2010 Census",0100000US,,United States,99426433,19202085,1969560,8028893,508278
nhisp,Not Hispanic,male,Male,est42010,"April 1, 2010 Estimates Base",0100000US,,United States,99427364,19202886,1969574,8028902,508279
nhisp,Not Hispanic,male,Male,est72010,"July 1, 2010",0100000US,,United States,99494643,19259782,1975076,8086315,511074
nhisp,Not Hispanic,male,Male,est72011,"July 1, 2011",0100000US,,United States,99685403,19490920,1996307,8323751,522022
nhisp,Not Hispanic,male,Male,est72012,"July 1, 2012",0100000US,,United States,99909721,19731129,2018307,8564746,533339
nhisp,Not Hispanic,totsex,Both Sexes,cen42010,"April 1, 2010 Census",0100000US,,United States,202229636,40282810,4041624,16795038,1020354
nhisp,Not Hispanic,totsex,Both Sexes,est42010,"April 1, 2010 Estimates Base",0100000US,,United States,202230621,40283616,4041638,16795048,1020355
nhisp,Not Hispanic,totsex,Both Sexes,est72010,"July 1, 2010",0100000US,,United States,202341032,40393684,4052815,16914333,1025739
nhisp,Not Hispanic,totsex,Both Sexes,est72011,"July 1, 2011",0100000US,,United States,202645680,40848899,4095838,17409730,1047053
nhisp,Not Hispanic,totsex,Both Sexes,est72012,"July 1, 2012",0100000US,,United States,202988134,41312371,4139437,17912269,1068872
tothisp,Total,female,Female,cen42010,"April 1, 2010 Census",0100000US,,United States,125351477,22580483,3083750,9208460,664743
tothisp,Total,female,Female,est42010,"April 1, 2010 Estimates Base",0100000US,,United States,125351541,22580488,3083750,9208461,664743
tothisp,Total,female,Female,est72010,"July 1, 2010",0100000US,,United States,125510900,22644596,3095577,9273597,668322
tothisp,Total,female,Female,est72011,"July 1, 2011",0100000US,,United States,126119475,22915759,3141709,9544899,682873
tothisp,Total,female,Female,est72012,"July 1, 2012",0100000US,,United States,126733785,23185919,3187581,9819822,697564
tothisp,Total,male,Male,cen42010,"April 1, 2010 Census",0100000US,,United States,122716053,20632690,3054732,8468047,667751
tothisp,Total,male,Male,est42010,"April 1, 2010 Estimates Base",0100000US,,United States,122717130,20633500,3054746,8468058,667752
tothisp,Total,male,Male,est72010,"July 1, 2010",0100000US,,United States,122908841,20702008,3066965,8528905,671611
tothisp,Total,male,Male,est72011,"July 1, 2011",0100000US,,United States,123618812,20981009,3113586,8780294,686968
tothisp,Total,male,Male,est72012,"July 1, 2012",0100000US,,United States,124373021,21270090,3161375,9035282,702705
tothisp,Total,totsex,Both Sexes,cen42010,"April 1, 2010 Census",0100000US,,United States,248067530,43213173,6138482,17676507,1332494
tothisp,Total,totsex,Both Sexes,est42010,"April 1, 2010 Estimates Base",0100000US,,United States,248068671,43213988,6138496,17676519,1332495
tothisp,Total,totsex,Both Sexes,est72010,"July 1, 2010",0100000US,,United States,248419741,43346604,6162542,17802502,1339933
tothisp,Total,totsex,Both Sexes,est72011,"July 1, 2011",0100000US,,United States,249738287,43896768,6255295,18325193,1369841
tothisp,Total,totsex,Both Sexes,est72012,"July 1, 2012",0100000US,,United States,251106806,44456009,6348956,18855104,1400269
hisp,Hispanic,female,Female,cen42010,"April 1, 2010 Census",0400000US01,01,Alabama,70422,7412,4276,1329,1598
hisp,Hispanic,female,Female,est42010,"April 1, 2010 Estimates Base",0400000US01,01,Alabama,70422,7412,4276,1329,1598
hisp,Hispanic,female,Female,est72010,"July 1, 2010",0400000US01,01,Alabama,70778,7473,4297,1329,1602
hisp,Hispanic,female,Female,est72011,"July 1, 2011",0400000US01,01,Alabama,73683,7767,4455,1375,1602
hisp,Hispanic,female,Female,est72012,"July 1, 2012",0400000US01,01,Alabama,75865,8139,4561,1411,1597
hisp,Hispanic,male,Male,cen42010,"April 1, 2010 Census",0400000US01,01,Alabama,89559,8361,5702,1580,2259
hisp,Hispanic,male,Male,est42010,"April 1, 2010 Estimates Base",0400000US01,01,Alabama,89559,8361,5702,1580,2259
hisp,Hispanic,male,Male,est72010,"July 1, 2010",0400000US01,01,Alabama,89979,8437,5734,1585,2269
hisp,Hispanic,male,Male,est72011,"July 1, 2011",0400000US01,01,Alabama,91913,8629,5755,1607,2206
hisp,Hispanic,male,Male,est72012,"July 1, 2012",0400000US01,01,Alabama,93366,8958,5864,1586,2211
hisp,Hispanic,totsex,Both Sexes,cen42010,"April 1, 2010 Census",0400000US01,01,Alabama,159981,15773,9978,2909,3857
hisp,Hispanic,totsex,Both Sexes,est42010,"April 1, 2010 Estimates Base",0400000US01,01,Alabama,159981,15773,9978,2909,3857
hisp,Hispanic,totsex,Both Sexes,est72010,"July 1, 2010",0400000US01,01,Alabama,160757,15910,10031,2914,3871
hisp,Hispanic,totsex,Both Sexes,est72011,"July 1, 2011",0400000US01,01,Alabama,165596,16396,10210,2982,3808
